"The Adventures of Priscilla, Queen of the Desert","tt0109045"
"Kill Bill: The Whole Bloody Affair","tt6019206"
"28 Days Later","tt0289043"
"Little Women","tt3281548"
"The 40-Year-Old Virgin","tt0405422"
"Mystery Team","tt1237838"
"300","tt0416449"
"Midnight","tt1208128"
"Lord of War","tt0399295"
"The Look of Love","tt1951216"
"Titanic","tt0120338"
"Bones","tt0460627"
"Little Nicky","tt0185431"
"Resident Evil: Welcome to Raccoon City","tt6920084"
"Madagascar","tt0351283"
"Rounders","tt0128442"
"Blue Jasmine","tt2334873"
"The Dark Knight","tt0468569"
"The Founder","tt4276820"
"Captain Phillips","tt1535109"
"Silver Linings Playbook","tt1045658"
"Burning","tt7282468"
"You're Next","tt1853739"
"Eternal Sunshine of the Spotless Mind","tt0338013"
"Scary Movie 3","tt0306047"
"The Program","tt0107889"
"The Founder","tt4276820"
"How the Grinch Stole Christmas!","tt0060345"
"Courage Under Fire","tt0115956"
"Cloud Atlas","tt1371111"
"Grease","tt0077631"
"Blue Mountain State: The Rise of Thadland","tt3748440"
"Seaspiracy","tt14152756"
"Clue","tt0088930"
"Titanic","tt0120338"
"High Fidelity","tt0146882"
"Venom","tt1270797"
"Spider-Man","tt0145487"
"The Men Who Stare at Goats","tt1234548"
"The Walking Dead","tt1520211"
"War","tt0499556"
"Death Sentence","tt0804461"
"The Man Who Saved Central City","tt4346792"
"100 Feet","tt0899128"
"Side Effects","tt2053463"
"Moulin Rouge!","tt0203009"
"Total Recall","tt1386703"
"Lucifer","tt4052886"
"Mozart in the Jungle","tt3502172"
"Juggernaut","tt0071706"
"Breaking Bad","tt0903747"
"Derailed","tt0398017"
"American Splendor","tt0305206"
"Angels & Demons","tt0808151"
"Goodbye, Children","tt0092593"
"Neverland","tt1720619"
"The Great Gatsby","tt1343092"
"Skyline","tt1564585"
"Sound of My Voice","tt1748207"
"Anger Management","tt0305224"
"Drunk History","tt2712612"
"The Book Thief","tt0816442"
"The Bucket List","tt0825232"
"The Deer Hunter","tt0077416"
"American Pie Presents: Beta House","tt0974959"
"Yes Man","tt1068680"
"Ghost","tt0099653"
"Fight Club","tt0137523"
"Mortdecai","tt3045616"
"Love Is All You Need","tt1854236"
"The Good Shepherd","tt0343737"
"The Mummy","tt0120616"
"Boyhood","tt1065073"
"The Day After Tomorrow","tt0319262"
"The Family Man","tt0218967"
"State of Play","tt0473705"
"The Battle of Algiers","tt0058946"
"Orange County","tt0273923"
"The Pursuit of Happyness","tt0454921"
"Jason Goes to Hell: The Final Friday","tt0107254"
"Laura","tt0037008"
"Below Her Mouth","tt5073620"
"Stranger Things","tt4574334"
"San Andreas","tt2126355"
"Get Out","tt5052448"
"Cheaper by the Dozen 2","tt0452598"
"Spy Kids 2: Island of Lost Dreams","tt0287717"
"The Man Who Wasn't There","tt0243133"
"Edtv","tt0131369"
"Russian Ark","tt0318034"
"The Americans","tt2149175"
"The Usual Suspects","tt0114814"
"Chinatown","tt0071315"
"In Time","tt1637688"
"Young Guns","tt0096487"
"We're the Millers","tt1723121"
"Terra Nova","tt1641349"
"Suits","tt1632701"
"Lootera","tt2224317"
"Step Up 2: The Streets","tt1023481"
"The Batman","tt1877830"
"Batman: Year One","tt1672723"
"The Terminator","tt0088247"
"The Kashmir Files","tt10811166"
"Grease","tt0077631"
"Chapter Two: Vecna's Curse","tt11171932"
"BoJack Horseman","tt3398228"
"Traffic","tt0181865"
"Silver Linings Playbook","tt1045658"
"Kaithi","tt9900782"
"Long Shot","tt2139881"
"Jumper","tt0489099"
"Captain Marvel","tt4154664"
"Avengers: Infinity War","tt4154756"
"Devs","tt8134186"
"Entourage","tt1674771"
"The Good Place","tt4955642"
"Courage Under Fire","tt0115956"
"The Kashmir Files","tt10811166"
"Race 3","tt7431594"
"Chernobyl","tt7366338"
"Christine","tt0085333"
"Meadowlands","tt0705263"
"Star Trek III: The Search for Spock","tt0088170"
"Elysium","tt1535108"
"Fantastic Beasts and Where to Find Them","tt3183660"
"Frequency","tt0186151"
"Something's Gotta Give","tt0337741"
"Bride & Prejudice","tt0361411"
"Hum Aapke Hain Koun..!","tt0110076"
"The Intouchables","tt1675434"
"The Lone Ranger","tt1210819"
"Paranormal Activity","tt1179904"
"The Irishman","tt1302006"
"Batman Begins","tt0372784"
"Stranger Things","tt4574334"
"Enola Holmes","tt7846844"
"21 Jump Street","tt1232829"
"Hoot","tt0453494"
"The Accountant","tt2140479"
"The Blair Witch Project","tt0185937"
"Mean Girls","tt0377092"
"Gangs of New York","tt0217505"
"Elite Squad 2: The Enemy Within","tt1555149"
"Lucy","tt2872732"
"The Curious Case of Benjamin Button","tt0421715"
"Fast & Furious Presents: Hobbs & Shaw","tt6806448"
"Identity","tt0309698"
"Star Wars: Episode V - The Empire Strikes Back","tt0080684"
"Shutter Island","tt1130884"
"Anna and the King","tt0166485"
"Mad Max: Fury Road","tt1392190"
"Mary and Max","tt0978762"
"Captain America: The Winter Soldier","tt1843866"
"Chucky","tt8388390"
"Capital","tt8188114"
"Alien vs. Predator","tt0370263"
"DC League of Super-Pets","tt8912936"
"Lord of the Flies","tt0100054"
"Wednesday","tt13443470"
"The Deer Hunter","tt0077416"
"White House Down","tt2334879"
"The Dark Knight","tt0468569"
"Twelve","tt1407084"
"The Notebook","tt0332280"
"Aladdin","tt0103639"
"What Planet Are You From?","tt0181151"
"Cleopatra","tt0056937"
"Léon: The Professional","tt0110413"
"Wrong Turn","tt0295700"
"The War of the Roses","tt0098621"
"Cool Runnings","tt0106611"
"The Secret of NIMH","tt0084649"
"The Adam Project","tt2463208"
"The Motorcycle Diaries","tt0318462"
"Wind Chill","tt0486051"
"Kingdom of Heaven","tt0320661"
"Split","tt4972582"
"Her","tt1798709"
"Awkward.","tt1663676"
"The Stanford Prison Experiment","tt0420293"
"Django Unchained","tt1853728"
"Village of the Damned","tt0054443"
"Death Proof","tt1028528"
"Inglourious Basterds","tt0361748"
"A View to a Kill","tt0090264"
"The Terminator","tt0088247"
"The Big Sleep","tt0038355"
"Jurassic World","tt0369610"
"Jumanji: The Next Level","tt7975244"
"The King's Man","tt6856242"
"Game of Thrones","tt0944947"
"Psycho","tt0054215"
"Wind River","tt5362988"
"Labor Day","tt1967545"
"Spider-Man 2","tt0316654"
"Date Night","tt1279935"
"Negro y Azul","tt1232254"
"Seinfeld","tt0098904"
"Big Momma's House","tt0208003"
"Happening","tt13880104"
"Dead Poets Society","tt0097165"
"Project Power","tt7550000"
"Star Wars: Episode VII - The Force Awakens","tt2488496"
"South Park","tt0121955"
"The Godfather Part III","tt0099674"
"Paris, je t'aime","tt0401711"
"Rogue One: A Star Wars Story","tt3748528"
"Nosferatu","tt0013442"
"Ocean's Twelve","tt0349903"
"Fargo","tt2802850"
"Mass Effect","tt1073668"
"Amores Perros","tt0245712"
"Hunt for the Wilderpeople","tt4698684"
"Blackadder Goes Forth","tt0096548"
"Over the Hedge","tt0327084"
"Snow Falling on Cedars","tt0120834"
